$username used Double-Edge on  $randuser, it was super effective!
$username used Nuzzle on  $randuser, it was super effective!
$username used Discharge on  $randuser, critical hit!!!
$username used Dragon Ascent on  $randuser, critical hit!!!
$username used Draining Kiss on  $randuser, it was not very effective (
$username used Foresight on  $randuser, it was not very effective (
$username used Fake Out on  $randuser, critical hit!!!
$username used Assist on  $randuser, it was not very effective (
$username used Toxic Spikes on  $randuser, it was not very effective (
$username used Vacuum Wave on  $randuser, it was super effective!
$username used Mirror Move on  $randuser, critical hit!!!
$username used Grass Whistle on  $randuser, critical hit!!!
$username used Final Gambit on  $randuser, it was not very effective (
$username used Acid on  $randuser, it was not very effective (
$username used Hidden Power on  $randuser, it was not very effective (
$username used Metal Claw on  $randuser, critical hit!!!
$username used Counter on  $randuser, it was super effective!
$username used Megahorn on  $randuser, it was not very effective (
$username used Final Gambit on  $randuser, it was super effective!
$username used Frost Breath on  $randuser, critical hit!!!
$username used False Swipe on  $randuser, it was not very effective (
$username used Dragon Tail on  $randuser, it was not very effective (
$username used Hypnosis on  $randuser, critical hit!!!
$username used Iron Head on  $randuser, it was super effective!
$username used Charm on  $randuser, critical hit!!!
$username used Leech Seed on  $randuser, it was not very effective (
$username used Tri Attack on  $randuser, it was super effective!
$username used Fairy Wind on  $randuser, it was super effective!
$username used Covet on  $randuser, it was not very effective (
$username used Last Resort on  $randuser, critical hit!!!
$username used Flatter on  $randuser, critical hit!!!
$username used Gunk Shot on  $randuser, critical hit!!!
$username used Lucky Chant on  $randuser, it was not very effective (
$username used Fury Cutter on  $randuser, it was super effective!
$username used Smog on  $randuser, critical hit!!!
$username used Conversion 2 on  $randuser, critical hit!!!
$username used Present on  $randuser, it was not very effective (
$username used Flame Burst on  $randuser, it was super effective!
$username used Gastro Acid on  $randuser, critical hit!!!
$username used Ice Shard on  $randuser, it was not very effective (
$username used Wrap on  $randuser, critical hit!!!
$username used Metal Sound on  $randuser, critical hit!!!
$username used Cosmic Power on  $randuser, it was super effective!
$username used Follow Me on  $randuser, it was not very effective (
$username used Fake Tears on  $randuser, critical hit!!!
$username used Strength on  $randuser, it was super effective!
$username used Ice Beam on  $randuser, critical hit!!!
$username used Tail Glow on  $randuser, critical hit!!!
$username used Roar of Time on  $randuser, critical hit!!!
$username used Snatch on  $randuser, critical hit!!!
$username used Cross Poison on  $randuser, it was super effective!
$username used Horn Drill on  $randuser, it was not very effective (
$username used Head Charge on  $randuser, it was super effective!
$username used Tail Slap on  $randuser, it was not very effective (
$username used Twister on  $randuser, it was not very effective (
$username used Ice Ball on  $randuser, critical hit!!!
$username used Sludge Wave on  $randuser, critical hit!!!
$username used Soft-Boiled on  $randuser, critical hit!!!
$username used Sacred Fire on  $randuser, critical hit!!!
$username used Powder on  $randuser, critical hit!!!
$username used Attack Order on  $randuser, critical hit!!!
$username used Play Rough on  $randuser, it was super effective!
$username used Psychic on  $randuser, it was not very effective (
$username used Hurricane on  $randuser, it was not very effective (
$username used Parabolic Charge on  $randuser, it was super effective!
$username used Dragon Rage on  $randuser, it was super effective!
$username used Lovely Kiss on  $randuser, it was super effective!
$username used Struggle Bug on  $randuser, critical hit!!!
$username used Thunder Punch on  $randuser, it was super effective!
$username used Slam on  $randuser, it was super effective!
$username used Outrage on  $randuser, it was super effective!
$username used Air Slash on  $randuser, it was super effective!
$username used Submission on  $randuser, it was not very effective (
$username used Shadow Punch on  $randuser, it was super effective!
$username used Seed Flare on  $randuser, it was not very effective (
$username used Work Up on  $randuser, it was not very effective (
$username used Circle Throw on  $randuser, it was super effective!
$username used Fury Attack on  $randuser, it was super effective!
$username used Ally Switch on  $randuser, critical hit!!!
$username used Hail on  $randuser, it was not very effective (
$username used Dragon Dance on  $randuser, it was super effective!
$username used Lock-On on  $randuser, it was super effective!
$username used Spite on  $randuser, it was not very effective (
$username used Dragon Dance on  $randuser, it was not very effective (
$username used Sleep Powder on  $randuser, it was super effective!
$username used Storm Throw on  $randuser, it was not very effective (
$username used Focus Punch on  $randuser, critical hit!!!
$username used Relic Song on  $randuser, critical hit!!!
$username used Double Hit on  $randuser, it was super effective!
$username used Magnet Bomb on  $randuser, critical hit!!!
$username used Cosmic Power on  $randuser, critical hit!!!
$username used Thrash on  $randuser, it was super effective!
$username used Disarming Voice on  $randuser, critical hit!!!
$username used Bolt Strike on  $randuser, it was super effective!
$username used Acupressure on  $randuser, it was super effective!
$username used Energy Ball on  $randuser, critical hit!!!
$username used Meteor Mash on  $randuser, critical hit!!!
$username used Comet Punch on  $randuser, critical hit!!!
$username used Fire Spin on  $randuser, it was not very effective (
$username used Magnetic Flux on  $randuser, it was not very effective (
$username used Seed Bomb on  $randuser, it was super effective!
$username used Dream Eater on  $randuser, it was super effective!
